,A1,E1_a,E1_b,E1_c,E1_d,E1_e,E1_f,E1_g,E1_h,E2
0,2,1,2,2,2,2,2,1,-99,1
1,2,1,2,2,2,2,1,2,1,8
2,4,1,2,2,2,2,2,1,1,1
3,2,2,2,2,2,2,1,1,1,6
4,1,2,2,2,2,2,1,1,-98,6
5,2,1,2,2,2,2,2,1,2,1
6,2,2,2,2,2,2,1,1,1,6
7,2,2,2,2,2,1,1,2,2,5
8,1,2,2,2,2,1,2,2,2,E1_e
9,2,2,2,2,2,2,2,1,2,E1_g
10,4,1,2,2,2,2,2,2,2,E1_a
11,2,1,2,2,2,2,2,1,2,1
12,1,2,2,2,2,2,1,1,1,6
13,4,1,2,2,2,2,2,2,2,E1_a
14,2,2,2,2,2,2,1,1,2,7
15,1,2,1,2,2,2,1,1,2,7
16,4,2,2,2,2,2,1,2,2,E1_f
17,2,2,2,2,2,2,1,1,2,6
18,2,2,2,2,2,2,1,2,2,E1_f
19,1,2,2,2,2,1,1,1,1,6
20,4,1,2,2,2,2,1,1,2,1
21,2,1,2,2,2,2,2,1,1,8
22,2,1,2,2,2,2,1,2,1,8
23,2,2,2,2,2,2,1,1,2,6
24,1,2,2,2,2,2,1,1,2,6
25,2,2,2,2,2,2,1,2,-99,E1_f
26,5,2,2,2,2,2,1,2,-98,E1_f
27,2,-99,-99,-99,-99,-99,1,-99,-99,E1_f
28,1,1,2,2,2,2,2,2,2,E1_a
29,1,2,2,2,2,2,1,1,2,7
30,2,2,2,2,2,2,1,1,1,6
31,2,2,2,2,2,1,1,2,1,5
32,4,2,2,2,2,2,2,2,2, 
33,1,2,2,2,2,2,1,1,2,6
34,2,1,2,2,2,2,2,2,2,E1_a
35,2,2,2,2,2,2,1,2,2,E1_f
36,2,1,2,2,2,2,2,1,2,7
37,1,2,2,2,2,2,1,2,2,E1_f
38,2,2,2,2,2,2,1,1,1,6
39,2,2,2,2,2,2,1,1,2,6
40,2,2,2,2,2,2,2,1,2,E1_g
41,2,1,2,2,2,2,2,2,2,E1_a
42,1,2,2,2,2,2,1,1,1,8
43,4,1,2,2,2,2,2,2,1,8
44,1,1,2,2,2,2,2,2,2,E1_a
45,4,2,2,2,2,2,1,2,2,E1_f
46,4,1,2,2,2,2,2,2,2,E1_a
47,2,2,2,2,2,2,1,1,2,6
48,2,1,2,2,2,2,2,1,1,7
49,1,2,2,2,2,2,1,2,2,E1_f
50,2,2,2,2,2,2,1,2,2,E1_f
51,2,2,2,2,2,2,1,2,2,E1_f
52,2,1,2,2,2,2,2,1,2,1
53,2,1,2,2,2,2,2,1,2,7
54,2,2,2,2,2,2,1,1,1,8
55,2,1,2,2,2,2,2,1,2,1
56,2,1,2,2,2,2,2,2,2,E1_a
57,2,1,1,2,2,2,2,1,1,2
58,2,2,2,2,2,1,1,2,1,8
59,2,2,2,2,2,2,1,1,-98,6
60,2,2,2,2,2,2,1,1,2,6
61,4,1,2,2,2,2,2,2,1,8
62,2,2,2,2,2,2,1,2,1,-98
63,2,2,2,1,2,2,2,1,2,3
64,2,2,2,2,2,1,1,2,2,5
65,2,1,2,2,2,2,2,1,2,1
66,4,1,2,2,2,2,2,2,2,E1_a
67,2,2,2,2,2,2,2,2,2, 
68,4,2,2,1,1,2,2,2,2,3
69,2,1,2,2,2,2,2,2,2,E1_a
70,2,2,2,1,2,2,2,1,2,3
71,2,1,2,2,2,2,2,1,2,7
72,2,1,2,2,2,2,2,2,2,E1_a
73,2,2,1,2,2,2,2,1,2,7
74,2,2,2,2,2,2,1,1,-98,6
75,2,1,2,2,2,2,2,1,2,1
76,2,2,2,2,2,2,1,2,2,E1_f
77,2,2,2,2,2,2,1,2,2,E1_f
78,4,1,2,2,2,2,2,2,2,E1_a
79,2,1,2,2,1,2,2,1,-98,7
80,1,2,2,2,2,1,1,2,2,5
81,2,1,2,2,2,2,2,2,2,E1_a
82,4,2,2,1,1,2,2,2,2,3
83,2,2,2,2,2,2,1,2,2,E1_f
84,4,2,2,2,2,2,1,1,1,7
85,2,2,2,2,2,2,1,2,2,E1_f
86,2,1,2,2,2,2,2,2,2,E1_a
87,4,1,2,2,2,2,2,2,2,E1_a
88,2,2,2,2,2,2,1,1,1,6
89,2,1,2,2,2,2,2,2,2,E1_a
90,2,1,2,2,2,2,2,2,2,E1_a
91,4,1,2,2,2,2,2,1,1,1
92,4,2,2,2,2,2,1,1,1,8
93,1,1,2,2,2,2,2,1,2,1
94,2,1,2,2,2,2,1,1,2,7
95,2,1,2,2,2,2,2,1,2,1
96,2,1,2,2,2,2,2,1,2,1
97,2,2,1,2,2,2,2,2,2,E1_b
98,2,1,2,2,2,2,2,1,2,1
99,2,2,1,2,1,2,2,2,2,2
100,4,1,2,2,2,2,2,2,2,E1_a
101,2,2,2,2,2,2,1,1,2,6
102,1,2,2,2,2,2,1,2,2,E1_f
103,2,1,2,2,2,2,2,2,2,E1_a
104,4,2,2,2,2,1,2,1,2,5
105,1,1,2,2,2,2,2,2,2,E1_a
106,2,2,2,2,2,2,1,1,2,6
107,5,1,2,1,1,2,2,1,1,1
108,2,1,2,2,2,2,2,1,2,7
109,2,1,2,2,2,2,2,2,2,E1_a
110,2,1,2,2,2,2,2,2,2,E1_a
111,2,2,2,2,2,2,1,2,2,E1_f
112,2,1,2,2,2,2,2,2,2,E1_a
113,2,1,2,2,2,2,2,1,-98,1
114,2,2,2,2,2,1,1,2,2,5
115,2,2,2,2,2,2,1,2,2,E1_f
116,1,1,2,2,2,2,2,1,2,7
117,4,1,2,2,2,2,2,2,2,E1_a
118,2,2,2,2,2,2,1,1,2,6
119,2,1,2,2,2,2,2,2,2,E1_a
120,4,2,2,2,2,2,1,1,2,7
121,2,2,2,2,2,2,1,2,2,E1_f
122,2,2,2,2,2,2,2,1,2,E1_g
123,2,2,2,2,2,2,1,2,2,E1_f
124,4,1,2,2,2,2,2,2,2,E1_a
125,4,2,2,2,2,2,1,2,-98,E1_f
126,1,2,2,2,2,2,1,2,2,E1_f
127,2,1,2,2,2,2,2,2,2,E1_a
128,2,1,2,2,2,2,2,2,2,E1_a
129,2,1,2,2,2,2,2,2,2,E1_a
130,2,1,2,2,2,2,1,1,-99,6
131,2,1,2,2,2,2,2,2,2,E1_a
132,4,1,2,2,2,2,2,1,1,1
133,2,2,2,2,2,2,1,1,-99,6
134,1,1,2,2,2,2,2,2,2,E1_a
135,2,1,2,2,2,2,2,1,2,1
136,2,2,2,2,1,2,2,1,2,7
137,2,1,2,2,2,2,2,1,2,1
138,2,2,2,2,2,2,1,1,-99,6
139,1,1,2,2,2,2,2,2,2,E1_a
140,2,1,2,2,2,2,2,2,2,E1_a
141,1,2,2,2,2,2,1,1,1,8
142,2,1,2,2,2,2,2,1,2,1
143,2,2,2,2,2,2,1,1,1,8
144,4,2,2,2,2,2,1,1,1,6
145,2,2,2,2,2,1,2,1,2,5
146,4,1,2,2,2,2,2,2,2,E1_a
147,4,2,2,2,2,2,1,2,2,E1_f
148,2,2,2,1,2,2,2,2,2,E1_c
149,1,1,2,2,2,2,2,1,2,1
150,2,2,2,2,2,2,2,1,1,8
151,1,2,2,1,2,2,2,1,2,3
152,2,2,1,2,2,1,2,2,2,2
153,2,1,2,2,2,2,2,2,2,E1_a
154,2,2,2,2,2,1,1,2,2,6
155,1,2,2,2,2,1,1,1,1,8
156,4,2,2,1,1,2,2,2,2,4
157,2,2,2,2,2,2,1,1,1,8
158,2,2,2,2,2,2,1,1,2,6
159,2,2,2,2,2,2,1,1,2,6
160,2,1,2,2,2,2,1,2,2,6
161,2,2,2,2,2,2,1,2,2,E1_f
162,2,2,2,2,2,2,1,1,2,7
163,2,1,2,2,2,2,2,1,2,1
164,2,1,2,2,2,2,2,1,2,7
165,2,2,2,2,2,1,1,2,2,5
166,4,1,2,2,2,2,2,1,2,1
167,1,2,2,2,2,2,1,2,1,8
168,2,2,2,1,2,2,2,2,2,E1_c
169,5,2,2,2,1,1,2,1,2,4
170,2,2,2,2,2,1,1,2,2,6
171,4,1,2,2,2,2,2,1,2,1
172,2,2,2,2,2,2,1,1,1,6
173,2,1,2,2,2,2,2,1,-99,1
174,5,1,2,2,2,2,2,2,1,-100
175,4,1,2,1,2,2,2,2,2,1
176,5,1,2,2,2,2,2,1,1,8
177,1,2,2,2,2,2,1,1,1,8
