Page total likes,Type,Category,Post Month,Post Weekday,Post Hour,Paid,like
139441,Photo,2,12,4,3,0.0,79.0
139441,Status,2,12,3,10,0.0,130.0
139441,Photo,3,12,3,3,0.0,66.0
139441,Photo,2,12,2,10,1.0,1572.0
139441,Photo,2,12,2,3,0.0,325.0
139441,Status,2,12,1,9,0.0,152.0
139441,Photo,3,12,1,3,1.0,249.0
139441,Photo,3,12,7,9,1.0,325.0
139441,Status,2,12,7,3,0.0,161.0
139441,Photo,3,12,6,10,0.0,113.0
139441,Status,2,12,5,10,0.0,233.0
139441,Photo,2,12,5,10,0.0,88.0
139441,Photo,2,12,5,10,0.0,90.0
139441,Photo,2,12,5,3,0.0,137.0
138414,Photo,2,12,4,5,1.0,577.0
138414,Status,2,12,3,10,0.0,86.0
138414,Photo,3,12,3,3,0.0,40.0
138414,Photo,1,12,2,12,1.0,678.0
138414,Status,3,12,2,3,0.0,54.0
138414,Photo,3,12,1,11,0.0,34.0
138414,Photo,2,12,1,3,0.0,66.0
138414,Photo,1,12,7,10,0.0,0.0
138414,Link,1,12,7,10,0.0,16.0
138414,Photo,3,12,7,3,0.0,72.0
138414,Status,2,12,6,10,0.0,99.0
138458,Status,2,12,6,3,0.0,88.0
138458,Status,2,12,5,11,0.0,412.0
138458,Photo,3,12,5,3,0.0,100.0
138895,Photo,2,12,5,3,0.0,523.0
138895,Video,1,12,4,11,1.0,143.0
138895,Photo,2,12,4,2,0.0,107.0
138895,Photo,2,12,3,10,0.0,27.0
138895,Photo,3,12,3,3,0.0,155.0
138895,Photo,3,12,2,9,0.0,98.0
138895,Photo,1,12,2,3,0.0,56.0
138895,Photo,2,12,1,11,0.0,172.0
138895,Photo,3,12,1,3,0.0,96.0
138895,Photo,1,12,7,10,1.0,76.0
138895,Status,2,12,7,9,0.0,227.0
138895,Photo,1,12,7,3,0.0,44.0
138895,Status,2,12,6,11,0.0,216.0
138895,Link,1,12,6,3,1.0,187.0
138353,Photo,1,12,5,10,0.0,26.0
138353,Link,1,12,5,3,1.0,29.0
138353,Photo,1,12,4,11,0.0,47.0
138353,Link,1,12,4,3,1.0,57.0
138353,Status,1,12,3,11,0.0,174.0
138353,Link,1,12,3,2,0.0,18.0
138353,Photo,1,12,2,11,0.0,77.0
138353,Link,1,12,2,2,0.0,12.0
138353,Photo,2,11,1,9,0.0,48.0
138329,Photo,1,11,1,3,1.0,285.0
138329,Photo,1,11,7,9,0.0,202.0
138329,Photo,1,11,7,3,0.0,64.0
138329,Photo,1,11,6,10,0.0,66.0
138329,Video,1,11,6,2,1.0,65.0
138329,Photo,1,11,5,11,0.0,164.0
138329,Photo,1,11,5,3,0.0,40.0
138329,Photo,1,11,4,10,0.0,76.0
138329,Photo,1,11,4,3,1.0,139.0
138185,Photo,1,11,3,11,1.0,101.0
138185,Photo,1,11,3,2,1.0,144.0
138185,Photo,1,11,2,10,1.0,179.0
138185,Photo,1,11,2,3,1.0,219.0
138185,Photo,1,11,1,10,0.0,60.0
138185,Photo,1,11,1,3,0.0,77.0
138185,Photo,1,11,7,11,0.0,48.0
138185,Photo,1,11,7,3,1.0,697.0
138185,Photo,1,11,6,11,0.0,53.0
137893,Photo,1,11,6,3,0.0,84.0
137893,Photo,1,11,5,10,1.0,146.0
137893,Video,1,11,5,3,1.0,449.0
137893,Status,3,11,4,11,0.0,226.0
137893,Photo,1,11,4,2,1.0,172.0
137893,Video,1,11,3,11,0.0,99.0
137893,Photo,1,11,3,2,1.0,411.0
137893,Photo,1,11,3,2,0.0,0.0
137177,Photo,1,11,1,10,0.0,85.0
137177,Photo,2,11,1,3,0.0,56.0
137177,Photo,1,11,7,12,0.0,29.0
137177,Status,2,11,7,3,0.0,86.0
137177,Photo,3,11,6,10,0.0,370.0
137177,Photo,1,11,6,3,0.0,190.0
137177,Photo,3,11,5,10,1.0,101.0
137177,Status,3,11,5,2,0.0,99.0
137177,Photo,1,11,4,9,1.0,140.0
137177,Link,1,11,4,3,0.0,130.0
137177,Photo,3,11,3,10,0.0,270.0
137177,Photo,1,11,3,3,0.0,30.0
137059,Photo,1,11,2,11,1.0,107.0
137059,Photo,1,11,2,3,0.0,331.0
137059,Photo,2,11,1,9,0.0,78.0
137059,Photo,3,11,1,3,0.0,301.0
137059,Photo,3,11,7,9,0.0,111.0
137059,Photo,2,11,7,4,0.0,124.0
137059,Photo,3,10,6,10,0.0,153.0
137059,Photo,1,10,6,3,0.0,51.0
137059,Photo,2,10,5,11,0.0,115.0
137020,Status,2,10,5,3,1.0,310.0
137020,Photo,1,10,4,10,0.0,328.0
137020,Photo,1,10,4,9,1.0,0.0
137020,Photo,2,10,4,3,0.0,1505.0
137020,Photo,3,10,3,10,0.0,63.0
137020,Photo,1,10,3,4,0.0,13.0
137020,Photo,1,10,2,11,1.0,59.0
137020,Photo,1,10,2,4,0.0,955.0
137020,Photo,3,10,1,11,0.0,181.0
136736,Status,2,10,1,4,0.0,193.0
136736,Photo,3,10,7,9,0.0,125.0
136736,Status,2,10,7,3,0.0,217.0
136736,Photo,1,10,6,10,0.0,28.0
136736,Photo,1,10,6,8,0.0,
136736,Photo,2,10,6,4,0.0,117.0
136642,Photo,2,10,1,3,1.0,79.0
136642,Photo,1,10,7,13,0.0,15.0
136642,Photo,1,10,7,12,1.0,4.0
136642,Photo,1,10,7,12,0.0,431.0
136642,Photo,1,10,7,11,0.0,7.0
136642,Photo,1,10,7,10,0.0,7.0
136393,Photo,1,10,7,10,0.0,6.0
136393,Photo,1,10,7,9,0.0,2.0
136393,Status,2,10,7,9,0.0,186.0
136393,Photo,1,10,7,8,0.0,1.0
136393,Photo,1,10,7,7,0.0,3.0
136393,Photo,1,10,7,6,0.0,7.0
136393,Photo,1,10,7,5,0.0,7.0
136393,Photo,3,10,7,3,0.0,198.0
136393,Photo,1,10,6,13,0.0,9.0
136393,Photo,1,10,6,13,0.0,4.0
136393,Photo,1,10,6,12,0.0,3.0
136393,Photo,1,10,6,11,0.0,8.0
136393,Photo,1,10,6,9,0.0,7.0
136393,Photo,1,10,6,9,0.0,7.0
136393,Photo,1,10,6,8,0.0,11.0
136393,Photo,1,10,6,6,0.0,28.0
136393,Photo,1,10,6,2,0.0,56.0
136393,Link,1,10,5,10,0.0,32.0
136013,Photo,1,10,5,8,0.0,32.0
136013,Status,2,10,5,3,0.0,129.0
136013,Photo,1,10,4,10,1.0,77.0
136013,Link,1,10,4,3,0.0,143.0
136013,Status,3,10,3,10,0.0,227.0
136013,Status,2,10,3,2,1.0,859.0
136013,Photo,3,10,2,10,1.0,377.0
136013,Photo,1,10,2,3,1.0,41.0
136013,Photo,1,10,1,10,1.0,76.0
136013,Photo,3,10,1,3,0.0,189.0
135713,Photo,3,10,7,10,0.0,80.0
135713,Status,2,10,7,4,0.0,148.0
135713,Link,1,10,6,11,1.0,24.0
135713,Photo,1,10,6,4,0.0,302.0
135713,Photo,2,10,5,11,0.0,166.0
135713,Photo,2,10,5,4,1.0,358.0
135713,Photo,1,10,4,10,0.0,161.0
135713,Photo,2,10,4,1,0.0,319.0
135700,Photo,2,9,3,7,0.0,54.0
135700,Photo,2,9,2,11,0.0,117.0
135700,Photo,3,9,2,2,0.0,115.0
135700,Photo,2,9,1,10,0.0,187.0
135617,Photo,2,9,1,3,1.0,84.0
